"ID"	"Mass_specific_VCO2"	"Ta"	"N"	"Tb"	"Taset"	"Whole_animal_VCO2"	"ID2"
"11_11_03"	0.734379240483871	33.2389515151515	3	34.5	33	18.6846535195148	"11"
"12_11_03"	0.742640328615716	33.079893939394	2	34.5	33	22.9467420860243	"12"
"2_10_03"	0.813408740943669	32.6542393939394	2	34.5	33	23.1075130021429	"2"
"3_10_03"	0.985452287138852	32.8930545454545	2	34.5	33	23.7649930606878	"3"
"4_10_03"	0.79381235065706	33.1434969696969	2	34.75	33	23.1458286685273	"4"
"5_10_03"	0.883265583501907	33.3982393939394	2	34.75	33	24.1783399041634	"5"
"6_10_03"	0.764838626567449	33.1498515151516	2	34.25	33	18.8046535393103	"6"
"8_11_03"	0.893383894812953	33.0011333333334	2	33.3409090909091	33	25.7649958829612	"8"
"9_11_03"	0.556471219917286	32.7251141552512	3	34.5	33	15.3150025667495	"9"
"10_11_03"	0.750770689263322	33.9421818181818	2	35	34	19.3357831838419	"10"
"11_11_03"	0.749782304306558	33.8563757575758	3	35.1666666666667	34	18.7940933518993	"11"
"12_11_03"	0.743037732369891	33.8113727272728	2	35	34	22.5806685328112	"12"
"2_10_03"	0.888991521168456	33.8733636363636	2	35.5	34	25.0330557287513	"2"
"3_10_03"	0.810227155690275	33.9934151515152	2	34.75	34	19.4936264988757	"3"
"4_10_03"	0.7713908339579	33.633703030303	1	35	34	22.5869406190456	"4"
"6_10_03"	0.754699919208329	33.7425878787879	1	35	34	18.273267647318	"6"
"8_11_03"	0.776121341251447	33.9157606060606	2	33.75	34	22.3024042332373	"8"
"9_11_03"	0.593650674848997	33.9954680365297	3	34.6963470319635	34	16.3261567213001	"9"
"10_11_03"	0.68695442343068	34.8043313131313	9	35.9444444444444	35	17.2187778413092	"10"
"11_11_03"	0.772630540748012	34.8654067340067	10	36.1818181818182	35	19.1240162869003	"11"
"12_11_03"	0.741330438162404	34.8409915151515	11	35.9636363636364	35	22.2944366063943	"12"
"2_10_03"	0.876665390102046	35.0955863636364	5	36.5	35	24.3841043065171	"2"
"3_10_03"	0.929031385516385	34.9514151515151	5	35.9204545454545	35	22.1242071237792	"3"
"4_10_03"	0.845935222235914	34.9486656565657	7	36.25	35	24.3358122953209	"4"
"5_10_03"	0.830321013688647	34.9473333333333	7	35.9166666666667	35	22.4099756868248	"5"
"6_10_03"	0.828181261396367	34.8399563636363	6	35.9	35	19.9166609540384	"6"
"8_11_03"	0.772493089465634	34.770298989899	9	34.7575757575758	35	21.6250146987691	"8"
"9_11_03"	0.736954262190081	34.8423632990868	9	35.875	35	20.1262761464782	"9"
